Incident Date,State,City Or County,Address,Killed,Injured
21-Feb-16,Missouri,Hazelwood,Interstate Highway 270 and North Lindbergh Boulevard,1,3
21-Feb-16,Texas,Houston,5100 block of Idaho Street,0,5
20-Feb-16,Florida,Tampa,2810 E. Bearss Ave,1,3
20-Feb-16,Alabama,Bessemer,200 block of Elm Street,1,3
20-Feb-16,Florida,Orlando,446 S Parramore Ave,0,4
20-Feb-16,Mississippi,Iuka,County Road 201,2,3
20-Feb-16,Michigan,Kalamazoo,5581 Cracker Barrel Blvd,6,2
19-Feb-16,California,Vallejo,509 Porter Street,1,3
14-Feb-16,Texas,Houston,8449 Gulf Freeway,1,3
14-Feb-16,Alabama,Eutaw (Union),Earnest Friday Road,0,5
13-Feb-16,Louisiana,Marrero,5425 Lapalco Boulevard,0,4
7-Feb-16,Mississippi,Pass Christian,Davis Avenue,2,4
7-Feb-16,Florida,Orlando,7432 Universal Blvd,2,10
7-Feb-16,New York,Rochester,547 State street,1,7
7-Feb-16,Illinois,Chicago (Englewood),6500 block of South Green Street,0,4
6-Feb-16,Florida,Tampa,8123 N Nebraska Ave,1,7
6-Feb-16,California,Los Angeles,12800 block of Cook Street,1,3
6-Feb-16,Florida,Apopka,10th Street,0,4
3-Feb-16,District of Columbia,Washington,1500 block of Butler St. SE,0,4
30-Jan-16,Colorado,Denver,4655 Humboldt St,1,3
30-Jan-16,Arizona,Glendale,67th and Missouri Avenue,3,5
27-Jan-16,Virginia,Chesapeake,1401 N. George Washington Hwy,6,0
26-Jan-16,Washington,Seattle,Airport Way S. and S. Atlantic St.,2,3
25-Jan-16,California,Perris,140 S. D Street,1,4
23-Jan-16,California,Los Angeles,8105 Avalon Blvd,2,2
17-Jan-16,Virginia,Ware Neck,Ditchley Road and Gill Lane,1,3
11-Jan-16,Delaware,Wilmington,900 block of Brown Street,1,4
8-Jan-16,Illinois,Chicago,1500 block of South Kedzie,1,4
7-Jan-16,Tennessee,Memphis,3800 block of Kerwood Avenue,1,3
6-Jan-16,Florida,Lakeland,2312 East Magnolia Street,3,1
31-Dec-15,Louisiana,New Orleans,1900 Block of Amelia Street,0,6
27-Dec-15,Tennessee,Jackson,North Parkway,0,4
26-Dec-15,Pennsylvania,Philadelphia,4210 Macalester St,0,4
25-Dec-15,Florida,Jacksonville,Franklin and Odessa,0,4
25-Dec-15,Alabama,Mobile,785 Schillinger Rd S,0,4
